Company,Company_real,Company_ID
Tapwave,Tapwave,129
,,
Tatung,Tatung Company,130
,,
TechFaith,TechFaith Wirelessæ,131
,,
TELE,Mobile TeleSystems,86
,,
Telekom,Deutsche Telekom,40
,,
Telstra,HTC,61
,,
The,Medical Phone Ltd,79
,,
ThinkNavi,ThinkNavi ,133
,,
Tibo,Tibo,134
,,
TMN,ZTE,156
,,
TORQ,TORQ,135
,,
Toshiba,Toshiba Corporation,136
,,
Trimble,Trimble Navigation,137
,,
Trium,HTC,61
,,
Typhoon,HTC,61
,,
U.S.,Palm,102
,,
UBiQUiO,TechFaith Wirelessæ,131
,,
UMI,UMI DIGI,138
,,
Unitech,Unitech Electronics Co Ltd,140
,,
UTStarcom,HTC,61
,,
Vadem,Vadem Ltd,142
,,
Verizon,Verizon Communications,143
,,
Vertu,Nokia Corporation,92
,,
Verzio,Verzio Mobile,144
,,
ViewSonic,ViewSonic,145
,,
Viliv,Yukyung Technologies Ltd,151
,,
Vivo,BBK Electronics Corporation,19
,,
Vizio,Chi Mei Communication Systems,27
,,
Vodafone,Vodafone,146
,,
WayteQ,Wayteq Technology,147
,,
WellcoM,Huawei,62
,,
Xiaomi,Xiaomi Inc,149
,,
Yakumo,MiTAC International Corp,84
,,
Yarvik,Yarvik Nextec,150
,,
Zenum,Zenum,153
,,
Ziss,Ziss HongKong,154
,,
Zopo,Zopo Mobile,155
,,
ZTE,ZTE,156
,,
Sony Ericsson,Sony Ericsson,124
